sep=\t				
Sampling Freq: 100Hz, 0.01 seconds between each sample				
AO	Average AO	PW	Average PW	Pd/Pa
119.000	98.700	124.900	98.300	0.996
118.100	98.700	120.600	98.400	0.997
117.100	98.700	116.000	98.400	0.997
116.800	98.700	112.600	98.400	0.996
116.400	98.700	114.900	98.400	0.996
116.100	98.700	116.900	98.400	0.996
115.500	98.700	116.100	98.400	0.996
114.900	98.800	115.800	98.400	0.996
114.000	98.800	114.800	98.400	0.996
113.200	98.800	113.400	98.400	0.997
112.300	98.800	111.800	98.400	0.997
111.300	98.800	110.400	98.500	0.997
110.200	98.800	109.700	98.500	0.997
109.000	98.800	108.700	98.500	0.997
107.800	98.800	107.900	98.500	0.997
106.600	98.800	107.000	98.500	0.997
105.400	98.800	105.800	98.500	0.997
104.300	98.900	104.600	98.500	0.997
103.100	98.900	103.300	98.600	0.997
102.000	98.900	102.100	98.600	0.997
100.900	98.900	101.100	98.600	0.997
99.900	98.900	100.100	98.600	0.997
98.800	98.900	99.200	98.600	0.997
97.900	98.900	98.200	98.600	0.997
96.900	98.900	97.200	98.600	0.997
96.100	98.900	96.400	98.600	0.997
95.200	98.900	95.700	98.600	0.997
94.500	98.900	94.900	98.600	0.997
93.800	98.900	94.000	98.700	0.997
93.100	98.900	93.400	98.700	0.997
92.500	99.000	92.800	98.700	0.997
91.900	99.000	92.000	98.700	0.997
91.500	99.000	91.400	98.700	0.997
90.900	99.000	90.800	98.700	0.997
90.400	99.000	90.200	98.700	0.997
89.800	99.000	89.800	98.700	0.997
89.300	99.000	89.200	98.700	0.997
88.800	99.000	88.800	98.700	0.997
88.300	99.000	88.100	98.700	0.997
87.900	99.000	87.600	98.700	0.997
87.400	99.000	87.400	98.700	0.997
87.100	99.000	87.200	98.700	0.997
86.600	99.000	86.700	98.700	0.997
86.200	99.000	86.300	98.800	0.997
85.800	99.000	86.000	98.800	0.997
85.400	99.000	85.800	98.800	0.997
85.100	99.000	85.500	98.800	0.997
84.800	99.000	85.200	98.800	0.997
84.500	99.000	84.900	98.800	0.997
84.300	99.100	84.500	98.800	0.997
84.100	99.100	84.200	98.800	0.997
84.100	99.100	84.500	98.800	0.997
83.900	99.100	85.100	98.800	0.997
83.600	99.100	85.400	98.800	0.997
83.000	99.100	85.000	98.800	0.997
82.600	99.100	84.200	98.800	0.997
82.200	99.100	83.400	98.800	0.997
81.800	99.100	82.900	98.900	0.997
81.400	99.100	81.900	98.900	0.998
81.000	99.100	81.200	98.900	0.998
80.500	99.100	81.200	98.900	0.998
80.200	99.100	81.200	98.900	0.998
79.800	99.100	81.400	98.900	0.998
79.500	99.100	81.000	98.900	0.998
79.200	99.200	80.400	98.900	0.998
78.700	99.200	79.800	98.900	0.998
78.400	99.200	79.100	98.900	0.998
78.500	99.200	78.800	98.900	0.998
78.900	99.200	79.200	98.900	0.998
78.800	99.200	80.500	99.000	0.998
79.000	99.200	81.000	99.000	0.998
80.900	99.200	81.000	99.000	0.998
85.500	99.200	81.600	99.000	0.998
90.800	99.200	81.700	99.000	0.998
95.200	99.200	82.300	99.000	0.998
98.200	99.200	87.800	99.000	0.998
101.800	99.200	97.000	98.900	0.997
106.200	99.200	104.600	98.900	0.997
110.800	99.200	107.700	98.900	0.997
113.900	99.200	110.200	98.900	0.997
116.800	99.200	114.400	98.900	0.997
119.400	99.200	118.000	98.900	0.997
121.900	99.200	120.300	98.900	0.997
123.900	99.200	121.600	98.900	0.997
125.300	99.200	123.400	99.000	0.997
126.900	99.200	125.400	99.000	0.997
128.000	99.200	127.200	99.000	0.997
129.000	99.300	128.700	99.000	0.997
130.000	99.300	129.900	99.000	0.997
131.000	99.300	131.000	99.000	0.997
131.900	99.300	132.100	99.000	0.997
132.600	99.300	132.700	99.000	0.997
133.300	99.300	133.700	99.000	0.997
133.700	99.300	134.300	99.000	0.997
133.800	99.300	135.000	99.000	0.997
133.500	99.300	135.500	99.000	0.997
132.600	99.300	135.700	99.100	0.997
131.000	99.400	135.500	99.100	0.997
128.200	99.400	134.700	99.100	0.997
124.600	99.400	133.300	99.100	0.997
122.000	99.400	130.900	99.100	0.997
121.600	99.400	127.400	99.100	0.997
120.500	99.400	122.400	99.200	0.997
119.700	99.400	116.900	99.200	0.997
119.200	99.400	115.700	99.200	0.997
119.100	99.500	119.300	99.200	0.997
118.600	99.500	120.100	99.200	0.997
118.000	99.500	119.500	99.200	0.997
117.200	99.500	119.000	99.200	0.997
116.300	99.500	117.500	99.300	0.997
115.400	99.500	115.700	99.300	0.998
114.400	99.500	114.100	99.300	0.998
113.100	99.500	113.100	99.300	0.998
112.000	99.600	112.300	99.300	0.998
110.800	99.600	111.400	99.300	0.998
109.500	99.600	110.500	99.400	0.998
108.300	99.600	109.000	99.400	0.998
107.100	99.600	107.400	99.400	0.998
105.800	99.600	106.300	99.400	0.998
104.600	99.600	105.200	99.400	0.998
103.500	99.700	104.300	99.500	0.998
102.500	99.700	103.300	99.500	0.998
101.400	99.700	102.100	99.500	0.998
100.400	99.700	101.200	99.500	0.998
99.500	99.700	100.200	99.500	0.998
98.600	99.700	99.300	99.600	0.998
97.700	99.700	98.500	99.600	0.998
97.000	99.800	97.700	99.600	0.998
96.100	99.800	96.900	99.600	0.998
95.600	99.800	96.200	99.600	0.998
94.800	99.800	95.500	99.600	0.998
94.100	99.800	94.600	99.700	0.999
93.500	99.800	93.900	99.700	0.999
93.000	99.800	93.300	99.700	0.999
92.400	99.800	92.700	99.700	0.999
91.800	99.900	92.200	99.700	0.999
91.300	99.900	91.600	99.700	0.999
90.900	99.900	91.400	99.800	0.999
90.400	99.900	91.000	99.800	0.999
89.900	99.900	90.300	99.800	0.999
89.400	99.900	89.800	99.800	0.999
89.100	99.900	89.400	99.800	0.999
88.600	100.000	89.000	99.900	0.999
88.100	100.000	88.500	99.900	0.999
87.600	100.000	88.100	99.900	0.999
87.300	100.000	87.800	99.900	0.999
86.900	100.000	87.400	99.900	0.999
86.500	100.000	87.100	99.900	0.999
86.100	100.000	86.800	99.900	0.999
85.900	100.000	86.400	100.000	0.999
85.600	100.100	86.000	100.000	0.999
85.500	100.100	86.000	100.000	0.999
85.300	100.100	86.000	100.000	0.999
85.100	100.100	86.400	100.000	0.999
84.600	100.100	86.700	100.000	0.999
84.200	100.100	86.200	100.000	0.999
83.500	100.100	85.400	100.100	0.999
83.000	100.100	84.400	100.100	0.999
82.600	100.100	83.500	100.100	0.999
82.100	100.200	82.700	100.100	0.999
81.700	100.200	81.900	100.100	0.999
81.200	100.200	81.700	100.100	0.999
80.800	100.200	81.800	100.100	0.999
80.300	100.200	81.600	100.200	1.000
79.800	100.200	81.400	100.200	1.000
79.400	100.200	81.100	100.200	1.000
78.900	100.200	80.300	100.200	1.000
78.700	100.200	79.600	100.200	1.000
78.700	100.300	79.400	100.200	1.000
79.000	100.300	79.600	100.200	1.000
79.000	100.300	80.600	100.200	1.000
78.900	100.300	81.000	100.200	1.000
80.600	100.300	80.900	100.200	1.000
85.100	100.200	81.800	100.300	1.000
90.500	100.200	82.100	100.300	1.000
95.200	100.200	82.400	100.200	1.000
98.600	100.200	86.900	100.200	1.000
102.300	100.200	95.700	100.200	1.000
106.500	100.200	103.700	100.100	1.000
111.200	100.200	107.700	100.100	1.000
114.100	100.200	110.400	100.100	0.999
116.300	100.200	114.300	100.100	0.999
118.700	100.200	118.000	100.100	0.999
121.200	100.200	119.900	100.100	0.999
122.800	100.200	120.800	100.100	0.999
124.400	100.200	122.400	100.100	0.999
125.500	100.200	124.200	100.200	0.999
126.600	100.200	125.700	100.200	0.999
127.400	100.300	127.300	100.200	0.999
128.500	100.300	128.500	100.200	0.999
129.200	100.300	129.300	100.200	0.999
130.100	100.300	130.000	100.200	0.999
131.000	100.300	131.000	100.200	0.999
131.400	100.400	132.100	100.300	0.999
132.000	100.400	132.700	100.300	0.999
132.100	100.400	133.300	100.300	0.999
131.700	100.400	134.000	100.300	0.999
130.600	100.500	134.000	100.400	0.999
128.700	100.500	133.700	100.400	0.999
125.600	100.600	133.100	100.400	0.999
121.900	100.600	131.600	100.500	0.999
120.300	100.600	128.900	100.500	0.999
119.600	100.600	124.600	100.600	1.000
118.500	100.600	119.300	100.600	1.000
117.900	100.700	114.100	100.600	1.000
117.500	100.700	114.100	100.600	0.999
117.100	100.700	117.700	100.700	0.999
116.800	100.700	117.600	100.700	0.999
116.000	100.800	117.100	100.700	1.000
115.400	100.800	116.800	100.700	1.000
114.500	100.800	115.500	100.800	1.000
113.600	100.800	113.900	100.800	1.000
112.500	100.800	112.600	100.800	1.000
111.400	100.900	111.400	100.800	1.000
110.100	100.900	110.400	100.900	1.000
108.800	100.900	109.500	100.900	1.000
107.500	100.900	108.300	100.900	1.000
106.200	100.900	106.900	100.900	1.000
105.000	101.000	105.500	100.900	1.000
103.700	101.000	104.200	101.000	1.000
102.500	101.000	103.100	101.000	1.000
101.400	101.000	101.900	101.000	1.000
100.300	101.000	101.000	101.000	1.000
99.200	101.000	100.000	101.000	1.000
98.300	101.100	99.000	101.100	1.000
97.400	101.100	97.900	101.100	1.000
96.500	101.100	97.000	101.100	1.000
95.700	101.100	96.100	101.100	1.000
94.900	101.100	95.300	101.100	1.000
94.100	101.100	94.500	101.200	1.000
93.400	101.100	93.700	101.200	1.000
92.700	101.200	93.000	101.200	1.000
92.100	101.200	92.400	101.200	1.000
91.600	101.200	91.600	101.200	1.000
90.900	101.200	91.100	101.200	1.000
90.400	101.200	90.500	101.200	1.000
89.800	101.200	90.000	101.300	1.000
89.300	101.200	89.500	101.300	1.000
88.800	101.200	88.900	101.300	1.000
88.400	101.200	88.200	101.300	1.000
88.000	101.300	88.000	101.300	1.000
87.500	101.300	87.600	101.300	1.000
87.100	101.300	87.100	101.300	1.000
86.700	101.300	87.000	101.300	1.000
86.300	101.300	86.400	101.300	1.000
85.900	101.300	86.200	101.300	1.000
85.500	101.300	85.900	101.400	1.000
85.200	101.300	85.500	101.400	1.000
84.900	101.300	85.200	101.400	1.001
84.600	101.300	84.900	101.400	1.001
84.600	101.300	84.600	101.400	1.001
84.500	101.300	84.600	101.400	1.001
84.400	101.400	84.900	101.400	1.000
84.100	101.400	85.500	101.400	1.000
83.700	101.400	85.500	101.400	1.000
83.200	101.400	85.000	101.400	1.001
82.900	101.400	84.200	101.400	1.001
82.600	101.400	83.500	101.400	1.001
82.100	101.400	82.800	101.500	1.001
81.700	101.400	81.700	101.500	1.001
81.200	101.400	81.100	101.500	1.001
80.800	101.400	81.500	101.500	1.001
80.300	101.400	81.800	101.500	1.001
79.800	101.400	81.200	101.500	1.001
79.300	101.400	80.600	101.500	1.001
78.800	101.400	80.000	101.500	1.001
78.300	101.400	79.200	101.500	1.001
78.000	101.400	78.400	101.500	1.001
