"sep=\t"
Sampling Freq: 100Hz, 0.01 seconds between each sample
AO	Average AO	PW	Average PW	Pd/Pa
113.200	98.900	98.800	88.600	0.896
112.500	98.900	97.700	88.600	0.896
111.800	98.900	96.500	88.600	0.896
111.000	98.900	95.300	88.600	0.896
110.200	98.900	94.200	88.600	0.896
109.300	98.900	93.000	88.600	0.896
108.500	98.900	91.900	88.600	0.896
107.700	98.900	91.100	88.600	0.896
106.800	98.900	90.600	88.600	0.896
105.900	98.900	90.000	88.600	0.896
104.900	98.900	89.400	88.500	0.896
104.000	98.900	88.600	88.500	0.896
103.100	98.900	87.800	88.500	0.896
102.200	98.900	87.200	88.500	0.896
101.300	98.900	86.400	88.500	0.896
100.500	98.900	85.700	88.500	0.896
99.800	98.900	85.000	88.500	0.896
98.900	98.900	84.500	88.500	0.896
98.200	98.900	84.000	88.500	0.896
97.700	98.900	83.500	88.500	0.896
96.800	98.900	82.900	88.500	0.896
96.200	98.900	82.500	88.500	0.895
95.600	98.900	82.200	88.500	0.895
95.000	98.900	81.700	88.500	0.895
94.700	98.900	81.300	88.500	0.895
94.300	98.900	80.700	88.500	0.895
93.200	98.900	80.200	88.500	0.895
92.800	98.900	79.700	88.500	0.895
92.400	98.900	79.200	88.500	0.895
91.500	98.900	78.800	88.500	0.895
91.900	98.900	78.400	88.500	0.895
90.900	98.900	78.000	88.500	0.895
89.300	98.900	77.500	88.500	0.895
89.900	98.900	77.000	88.500	0.895
89.100	98.900	76.700	88.500	0.895
88.900	98.900	76.500	88.500	0.895
88.100	98.900	76.000	88.500	0.895
88.000	98.900	75.700	88.500	0.895
87.400	98.900	75.400	88.500	0.895
87.100	98.900	75.100	88.500	0.895
86.700	98.900	74.800	88.500	0.895
86.300	98.900	74.500	88.500	0.895
85.900	98.900	74.200	88.500	0.895
85.600	98.900	74.000	88.500	0.895
85.200	98.900	73.500	88.500	0.895
84.800	98.900	73.300	88.500	0.895
84.500	98.900	73.300	88.500	0.895
84.400	98.900	73.400	88.500	0.895
84.200	98.900	73.600	88.500	0.895
84.100	98.900	73.500	88.500	0.895
84.000	98.800	73.300	88.500	0.895
83.700	98.800	72.900	88.500	0.895
83.400	98.800	72.700	88.500	0.895
83.000	98.800	72.800	88.500	0.895
82.600	98.800	72.800	88.500	0.895
82.300	98.800	72.400	88.500	0.895
81.900	98.800	71.500	88.500	0.895
81.500	98.800	70.600	88.500	0.895
80.800	98.800	70.000	88.500	0.895
80.300	98.800	69.600	88.500	0.895
79.900	98.800	69.900	88.500	0.895
79.900	98.800	71.200	88.500	0.895
79.800	98.800	73.500	88.500	0.895
80.500	98.800	76.100	88.500	0.895
81.700	98.800	77.600	88.500	0.895
83.500	98.800	77.200	88.500	0.895
86.500	98.800	77.100	88.500	0.895
89.600	98.900	80.700	88.500	0.895
92.200	98.900	87.600	88.500	0.895
94.400	98.900	93.400	88.500	0.895
96.500	98.900	96.400	88.500	0.895
98.700	98.900	97.800	88.500	0.895
100.500	98.900	98.200	88.500	0.895
102.200	98.900	98.800	88.500	0.895
103.900	98.900	99.600	88.500	0.895
105.700	98.900	100.900	88.500	0.895
107.800	98.900	102.400	88.500	0.895
109.800	98.900	104.400	88.600	0.895
111.800	98.900	106.800	88.600	0.895
113.900	99.000	109.200	88.600	0.895
115.800	99.000	111.600	88.600	0.895
117.700	99.000	113.400	88.600	0.895
119.700	99.000	115.100	88.600	0.895
121.500	99.000	116.500	88.600	0.895
122.500	99.000	118.000	88.600	0.895
124.600	99.000	119.400	88.600	0.895
126.200	99.000	120.700	88.600	0.895
126.900	99.000	121.700	88.600	0.895
127.400	99.000	122.200	88.600	0.895
127.200	99.000	122.200	88.600	0.895
126.700	99.000	121.600	88.600	0.895
125.400	99.000	120.200	88.600	0.895
122.900	99.000	117.700	88.600	0.895
120.000	99.000	113.400	88.500	0.895
117.700	98.900	108.000	88.500	0.895
115.900	98.900	101.900	88.500	0.895
116.000	98.900	98.900	88.500	0.895
115.000	98.900	99.900	88.500	0.895
113.500	98.900	100.600	88.500	0.895
111.900	98.900	100.200	88.500	0.895
112.700	98.900	99.600	88.500	0.895
112.400	98.900	99.000	88.500	0.895
111.600	98.900	97.900	88.500	0.895
110.700	98.900	96.600	88.500	0.895
108.300	98.900	95.400	88.500	0.895
107.200	98.800	94.400	88.500	0.895
108.000	98.800	93.200	88.500	0.895
