sep=\t
Sampling Freq: 100Hz, 0.01 seconds between each sample
AO	Average AO	PW	Average PW	Pd/Pa
76.700	236.900	52.000	68.700	0.290
76.600	235.600	51.600	68.500	0.291
76.200	234.300	51.300	68.400	0.292
75.700	232.900	50.900	68.300	0.293
75.200	231.600	50.400	68.200	0.294
74.900	230.200	50.100	68.000	0.295
74.600	228.900	49.800	67.900	0.297
74.000	227.500	49.500	67.800	0.298
73.600	226.200	49.200	67.700	0.299
73.400	224.800	48.800	67.600	0.301
73.000	223.500	48.300	67.500	0.302
72.500	222.100	48.000	67.400	0.303
72.100	220.800	48.000	67.300	0.305
71.900	219.400	47.700	67.200	0.306
71.500	218.100	47.300	67.100	0.308
71.000	216.700	47.200	67.000	0.309
70.700	215.400	47.200	66.900	0.311
70.400	214.000	47.200	66.900	0.312
69.900	212.600	46.700	66.800	0.314
69.500	211.300	46.400	66.700	0.316
69.300	209.900	46.200	66.600	0.317
69.000	208.600	45.900	66.600	0.319
68.500	207.200	45.800	66.500	0.321
68.100	205.800	45.700	66.400	0.323
67.900	204.400	45.500	66.400	0.325
67.600	203.100	45.200	66.300	0.326
67.100	201.700	45.000	66.200	0.328
66.800	200.300	44.700	66.200	0.330
66.600	199.000	44.500	66.100	0.332
66.100	197.600	44.200	66.000	0.334
65.700	196.200	44.100	66.000	0.336
65.600	194.800	44.100	65.900	0.338
65.200	193.500	43.700	65.900	0.340
64.700	192.100	43.600	65.800	0.343
64.500	190.700	43.500	65.700	0.345
64.300	189.300	43.200	65.700	0.347
63.900	187.900	43.000	65.600	0.349
63.500	186.600	42.700	65.600	0.352
63.300	185.200	42.500	65.500	0.354
62.900	183.800	42.300	65.500	0.356
62.500	182.400	42.100	65.400	0.359
62.300	181.000	41.900	65.400	0.361
62.100	179.600	41.700	65.300	0.364
61.600	178.200	41.500	65.300	0.366
61.300	176.800	41.300	65.200	0.369
61.200	175.500	41.300	65.200	0.372
60.800	174.100	41.200	65.200	0.374
60.600	172.700	41.200	65.100	0.377
60.500	171.300	41.600	65.100	0.380
60.100	169.900	41.700	65.000	0.383
59.800	168.500	41.500	65.000	0.386
59.700	167.100	41.800	64.900	0.389
59.400	165.700	42.000	64.900	0.392
59.000	164.300	41.800	64.900	0.395
