"sep=\t"
Sampling Freq: 100Hz, 0.01 seconds between each sample
AO	Average AO	PW	Average PW	Pd/Pa
75.000	88.600	69.800	84.900	0.959
74.400	88.600	68.900	84.900	0.959
73.800	88.600	68.300	84.900	0.959
73.300	88.600	68.100	84.900	0.959
72.900	88.500	67.900	84.900	0.958
72.300	88.500	68.400	84.800	0.958
71.700	88.500	69.400	84.800	0.959
71.100	88.500	71.200	84.800	0.959
71.500	88.500	73.100	84.800	0.959
72.900	88.500	75.700	84.800	0.959
73.500	88.400	76.300	84.800	0.959
73.400	88.400	74.500	84.800	0.959
75.000	88.400	74.700	84.800	0.959
79.400	88.400	80.700	84.800	0.959
84.900	88.500	90.300	84.900	0.959
89.300	88.500	97.300	84.900	0.960
93.200	88.500	99.600	85.000	0.960
95.900	88.500	99.700	85.000	0.960
98.500	88.500	100.100	85.000	0.960
101.100	88.500	101.200	85.000	0.960
102.500	88.500	102.400	85.000	0.960
103.500	88.600	103.700	85.000	0.960
104.800	88.600	104.900	85.000	0.960
105.900	88.600	106.000	85.000	0.960
106.900	88.600	106.900	85.000	0.960
107.500	88.600	107.700	85.000	0.960
108.300	88.600	108.100	85.000	0.960
108.800	88.600	108.100	85.000	0.960
109.200	88.600	108.000	85.000	0.960
109.500	88.600	107.900	85.000	0.960
109.800	88.600	107.500	85.000	0.960
109.500	88.600	106.800	85.000	0.960
109.200	88.600	105.900	85.000	0.960
108.500	88.600	104.000	85.000	0.960
107.300	88.600	101.000	85.000	0.959
105.000	88.600	96.800	85.000	0.959
101.500	88.600	91.100	85.000	0.959
97.900	88.600	85.700	84.900	0.959
96.400	88.600	84.400	84.900	0.958
95.600	88.600	87.000	84.900	0.958
95.300	88.600	88.400	84.900	0.959
95.100	88.600	87.800	85.000	0.959
95.000	88.600	87.000	85.000	0.959
95.300	88.600	87.100	85.000	0.959
95.300	88.700	87.100	85.000	0.959
95.300	88.700	87.100	85.000	0.959
95.200	88.700	87.100	85.000	0.959
94.900	88.700	86.700	85.000	0.959
94.800	88.700	86.600	85.100	0.959
93.900	88.800	86.800	85.100	0.959
92.500	88.800	86.800	85.100	0.959
91.000	88.800	86.300	85.100	0.959
90.300	88.800	85.800	85.100	0.959
90.000	88.800	85.000	85.100	0.959
103.600	88.900	84.500	85.100	0.958
83.100	88.900	84.300	85.200	0.958
93.800	88.900	84.000	85.200	0.958
90.400	88.900	83.400	85.200	0.958
94.700	89.000	83.000	85.200	0.958
88.900	89.000	82.700	85.200	0.958
90.500	89.000	82.500	85.200	0.958
91.300	89.000	81.800	85.200	0.957
92.300	89.100	81.100	85.300	0.957
90.700	89.100	80.600	85.300	0.957
90.700	89.200	80.200	85.300	0.957
91.700	89.200	80.200	85.300	0.956
91.900	89.200	80.300	85.300	0.956
92.000	89.300	80.300	85.300	0.956
91.700	89.300	79.900	85.400	0.955
91.000	89.400	79.600	85.400	0.955
91.100	89.400	78.700	85.400	0.955
91.200	89.500	77.600	85.400	0.954
91.500	89.600	76.700	85.400	0.954
91.800	89.600	76.600	85.400	0.953
91.600	89.700	76.400	85.400	0.953
91.600	89.700	75.900	85.400	0.952
91.700	89.800	75.200	85.500	0.952
92.000	89.900	74.200	85.500	0.951
91.900	89.900	72.900	85.500	0.951
91.800	90.000	72.000	85.500	0.950
92.000	90.100	71.800	85.500	0.949
92.300	90.200	72.000	85.500	0.948
92.700	90.200	72.200	85.500	0.948
92.500	90.300	72.800	85.500	0.947
92.900	90.400	74.300	85.600	0.946
93.000	90.500	76.100	85.600	0.946
93.100	90.600	78.300	85.700	0.945
93.100	90.700	79.200	85.700	0.945
92.800	90.800	78.300	85.700	0.944
92.400	90.900	78.600	85.800	0.944
92.500	91.000	84.000	85.800	0.943
92.700	91.000	93.100	85.900	0.943
93.100	91.200	100.000	86.000	0.943
93.600	91.200	102.300	86.000	0.943
93.400	91.200	102.700	86.100	0.943
93.300	91.200	103.700	86.100	0.944
93.300	91.200	106.400	86.100	0.945
93.300	91.100	109.300	86.200	0.945
93.000	91.100	111.600	86.200	0.946
92.700	91.100	112.900	86.200	0.947
91.900	91.000	114.000	86.300	0.948
92.100	90.900	115.400	86.300	0.949
92.100	90.800	116.800	86.400	0.951
92.100	90.800	117.800	86.400	0.952
